aliquota_cofins,aliquota_ibpt,aliquota_icms,aliquota_pis,altura,bloqueado,bloquear_exclusao,cest,cfop,codInt_familia,codigo,codigo_beneficio,codigo_familia,codigo_produto,codigo_produto_integracao,csosn_icms,cst_cofins,cst_icms,cst_pis,descr_detalhada,descricao,descricao_familia,dias_crossdocking,dias_garantia,ean,estoque_minimo,exibir_descricao_nfe,exibir_descricao_pedido,imagens,importado_api,inativo,info,largura,lead_time,marca,modelo,motivo_deson_icms,ncm,obs_internas,per_icms_fcp,peso_bruto,peso_liq,profundidade,quantidade_estoque,recomendacoes_fiscais,red_base_cofins,red_base_icms,red_base_pis,tipoItem,unidade,valor_unitario
0,0,0,0,0,N,N,,,63,PRD0000222,,9692638,2037060,2,,,,,,Produto asdhbakhsdbakdbn as,PALESTRANTES,0,0,054321223457,0,N,N,[{'url_imagem': 'https://cdn.omie.com.br/repository/a35fe7f7fe8217b4369a0af4244d1fca/75c6b389c6dd7dea52938f23f928a304/00003517041502799.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1747531159&Signature=0uL5VTi6qpO1u5xZfM12%2byl09qk%3d'}],S,N,"{'dAlt': '05/12/2024', 'dInc': '19/02/2014', 'hAlt': '15:38:38', 'hInc': '13:40:09', 'uAlt': 'WEBSERVICE', 'uInc': 'LPEREIRA'}",0,0,,,,2008.20.10,,0,0,0.0,0,0,"{'cnpj_fabricante': '', 'cupom_fiscal': 'S', 'id_cest': '', 'id_preco_tabelado': 0, 'indicador_escala': '', 'market_place': 'N', 'origem_mercadoria': '2'}",0,0,0,04,KIT,0.0
0,0,0,0,0,N,N,,,63,PRD00002,,9692638,2448039,1421,,,,,,tste com familia,PALESTRANTES,0,0,2,0,N,N,,S,N,"{'dAlt': '05/12/2024', 'dInc': '16/04/2014', 'hAlt': '15:48:07', 'hInc': '13:51:03', 'uAlt': 'WEBSERVICE', 'uInc': 'LPEREIRA'}",0,0,,,,0101.19.00,,0,0,0.0,0,0,"{'cnpj_fabricante': '', 'cupom_fiscal': 'N', 'id_cest': '', 'id_preco_tabelado': 0, 'indicador_escala': '', 'market_place': 'N', 'origem_mercadoria': ''}",0,0,0,99,UN,2130.0
0,0,0,0,0,N,N,,,107,PRD00003,,9726874,3504193,1421,,,,,,Alguma,4 - Produtos Sint?ticos do Cora??o,0,0,,0,N,N,,S,N,"{'dAlt': '04/04/2022', 'dInc': '29/08/2014', 'hAlt': '20:57:51', 'hInc': '16:29:38', 'uAlt': 'WEBSERVICE', 'uInc': 'LPEREIRA'}",0,0,,,,2008.20.10,,0,0,0.0,0,0,"{'cnpj_fabricante': '', 'cupom_fiscal': 'S', 'id_cest': '', 'id_preco_tabelado': 0, 'indicador_escala': '', 'market_place': 'N', 'origem_mercadoria': ''}",0,0,0,99,PC,200.0
0,0,0,0,0,N,N,,,107,PRD00004,,9726874,4422421,5,,,,,,Produto de teste 1234,4 - Produtos Sint?ticos do Cora??o,0,0,,0,N,N,,S,N,"{'dAlt': '11/09/2024', 'dInc': '04/11/2014', 'hAlt': '14:49:24', 'hInc': '09:54:50', 'uAlt': 'WEBSERVICE', 'uInc': 'LPEREIRA'}",0,0,,,,9506.91.00,,0,1,0.5,0,0,"{'cnpj_fabricante': '', 'cupom_fiscal': 'S', 'id_cest': '', 'id_preco_tabelado': 0, 'indicador_escala': '', 'market_place': 'N', 'origem_mercadoria': '0'}",0,0,0,00,UN,200.0
0,0,0,0,0,N,N,,,107,PRD00005,,9726874,4422493,PRD00005,,,,,,Impressora Fiscal Daruma,4 - Produtos Sint?ticos do Cora??o,0,0,,0,N,N,,S,N,"{'dAlt': '11/10/2024', 'dInc': '04/11/2014', 'hAlt': '11:30:11', 'hInc': '10:00:49', 'uAlt': 'WEBSERVICE', 'uInc': 'LPEREIRA'}",0,0,,,,8471.49.21,,0,0,0.0,0,0,"{'cnpj_fabricante': '', 'cupom_fiscal': 'S', 'id_cest': '', 'id_preco_tabelado': 0, 'indicador_escala': '', 'market_place': 'N', 'origem_mercadoria': ''}",0,0,0,04,UN,26.87
0,0,0,0,0,N,N,,,107,PRD00006,,9726874,8845212,WAPPRODUTO-95,,,,,,MAÇA,4 - Produtos Sint?ticos do Cora??o,0,0,,0,N,N,,S,N,"{'dAlt': '12/12/2023', 'dInc': '24/04/2015', 'hAlt': '12:49:21', 'hInc': '09:51:23', 'uAlt': 'P000000792', 'uInc': 'LPEREIRA'}",0,0,,,,08,,0,0,0.0,0,0,"{'cnpj_fabricante': '', 'cupom_fiscal': 'S', 'id_cest': '', 'id_preco_tabelado': 0, 'indicador_escala': '', 'market_place': 'S', 'origem_mercadoria': ''}",0,0,0,04,KG,0.0
0,0,0,0,0,N,N,,,63,PRD00007,,9692638,8845269,8845269,,,,,,BATATA INGLESA 23,PALESTRANTES,0,0,,0,N,N,,N,N,"{'dAlt': '04/04/2022', 'dInc': '24/04/2015', 'hAlt': '20:57:53', 'hInc': '09:53:46', 'uAlt': 'WEBSERVICE', 'uInc': 'LPEREIRA'}",0,0,,,,0701.10.00,,0,0,0.0,0,0,"{'cnpj_fabricante': '', 'cupom_fiscal': 'S', 'id_cest': '', 'id_preco_tabelado': 0, 'indicador_escala': '', 'market_place': 'N', 'origem_mercadoria': '0'}",0,0,0,04,KG,3.0
0,0,0,0,0,N,N,,,63,PRD00008,,9692638,8845322,8845322,,,,,,CEBOLA COMUM,PALESTRANTES,0,0,,0,N,N,,S,N,"{'dAlt': '03/04/2022', 'dInc': '24/04/2015', 'hAlt': '21:26:47', 'hInc': '09:55:00', 'uAlt': 'WEBSERVICE', 'uInc': 'LPEREIRA'}",0,0,,,,0703.10.19,,0,0,0.0,0,0,"{'cnpj_fabricante': '', 'cupom_fiscal': 'S', 'id_cest': '', 'id_preco_tabelado': 0, 'indicador_escala': '', 'market_place': 'N', 'origem_mercadoria': '0'}",0,0,0,99,KG,1.23
0,0,0,0,0,N,N,,,,PRDFAMILIA,,0,9938262,XPTO1265,,,,,,Teste de Familia,,0,0,,0,N,N,,S,N,"{'dAlt': '03/04/2022', 'dInc': '21/05/2015', 'hAlt': '21:26:42', 'hInc': '16:21:14', 'uAlt': 'WEBSERVICE', 'uInc': 'WEBSERVICE'}",0,0,,,,2008.20.10,,0,0,0.0,0,0,"{'cnpj_fabricante': '', 'cupom_fiscal': 'N', 'id_cest': '', 'id_preco_tabelado': 0, 'indicador_escala': '', 'market_place': 'N', 'origem_mercadoria': ''}",0,0,0,99,PC,200.0
0,0,0,0,0,N,N,,,,PRDFAMILIA3,,0,9938578,XPTO1267,,,,,,Teste de Familia3,,0,0,,0,N,N,,S,N,"{'dAlt': '03/04/2022', 'dInc': '21/05/2015', 'hAlt': '18:07:41', 'hInc': '16:27:21', 'uAlt': 'WEBSERVICE', 'uInc': 'WEBSERVICE'}",0,0,,,,2008.20.10,,0,0,0.0,0,0,"{'cnpj_fabricante': '', 'cupom_fiscal': 'N', 'id_cest': '', 'id_preco_tabelado': 0, 'indicador_escala': '', 'market_place': 'N', 'origem_mercadoria': ''}",0,0,0,99,PC,200.0
